iter	Passed	Remaining
587	3643	2553
588	3650	2547
589	3657	2541
590	3663	2535
591	3670	2529
592	3677	2523
593	3683	2517
594	3688	2510
595	3695	2504
596	3701	2498
597	3707	2492
598	3713	2485
599	3718	2478
600	3725	2473
601	3731	2466
602	3736	2460
603	3742	2453
604	3748	2447
605	3754	2441
606	3759	2434
607	3765	2427
608	3771	2421
609	3777	2414
610	3782	2408
611	3789	2402
612	3795	2396
613	3802	2390
614	3807	2383
615	3812	2376
616	3819	2370
617	3825	2364
618	3831	2358
619	3837	2351
620	3842	2344
621	3847	2338
622	3853	2332
623	3859	2325
624	3865	2319
625	3872	2313
626	3878	2307
627	3884	2301
628	3891	2295
629	3896	2288
630	3902	2282
631	3908	2275
632	3913	2268
633	3919	2262
634	3924	2256
635	3930	2249
636	3936	2243
637	3942	2236
638	3948	2230
639	3955	2224
640	3960	2218
641	3966	2211
642	3973	2206
643	3979	2200
644	3986	2193
645	3992	2187
646	3997	2181
647	4003	2174
648	4009	2168
649	4014	2161
650	4020	2155
651	4027	2149
652	4032	2143
653	4038	2136
654	4044	2130
655	4050	2124
656	4056	2117
657	4062	2111
658	4068	2105
659	4074	2099
660	4081	2093
661	4087	2087
662	4093	2080
663	4099	2074
664	4105	2068
665	4111	2061
666	4117	2055
667	4123	2049
668	4128	2042
669	4135	2036
670	4141	2030
671	4147	2024
672	4152	2017
673	4159	2011
674	4165	2005
675	4172	1999
676	4177	1993
677	4184	1987
678	4190	1980
679	4196	1974
680	4202	1968
681	4208	1962
682	4215	1956
683	4221	1950
684	4227	1943
685	4233	1937
686	4239	1931
687	4245	1925
688	4251	1918
689	4257	1912
690	4262	1906
691	4268	1899
692	4274	1893
693	4281	1887
694	4287	1881
695	4292	1874
696	4298	1868
697	4303	1862
698	4310	1855
699	4315	1849
700	4321	1843
701	4327	1836
702	4333	1830
703	4339	1824
704	4345	1818
705	4351	1812
706	4358	1806
707	4364	1799
708	4371	1794
709	4377	1788
710	4384	1782
711	4390	1775
712	4397	1770
713	4403	1763
714	4409	1757
715	4417	1752
